,text,label
0,Our product can accurately detect language switching and text sentiment analysis.,Not Misselling
1,Telelyzer provides multi-lingual support for Indian languages like Hindi and South Indian languages.,Not Misselling
2,Detect voice quality and audio dropouts with Telelyzer.,Not Misselling
3,Telelyzer can rate agent performance based on conversion rate and empathy.,Not Misselling
4,Our tool can analyze customer care call recordings for emotion analysis.,Not Misselling
5,Telelyzer is capable of detecting language switching and script adherence.,Not Misselling
6,Detect misselling accurately with Telelyzer's advanced features.,Misselling
7,Telelyzer can identify misselling and ensure sales agents do not oversell.,Misselling
8,Our product can detect misselling and ensure compliance with sales regulations.,Misselling
9,Telelyzer helps in identifying misselling practices during customer calls.,Misselling
14,Telelyzer provides accurate detection of language switching and sentiment analysis.,Not Misselling
15,Detect voice quality and audio dropouts effectively with Telelyzer.,Not Misselling
16,Telelyzer can evaluate agent performance based on conversion rate and empathy levels.,Not Misselling
17,Our tool offers emotion analysis for customer care call recordings.,Not Misselling
18,Telelyzer ensures script adherence and language detection for better analysis.,Not Misselling
19,Detect misselling practices accurately using Telelyzer.,Misselling
20,Telelyzer can pinpoint misselling instances and prevent sales agents from misleading customers.,Misselling
21,Our product is designed to detect misselling and maintain ethical sales practices.,Misselling
22,Telelyzer assists in identifying misselling behaviors during sales calls.,Misselling
27,Telelyzer offers precise detection of language switching and sentiment analysis.,Not Misselling
28,Detect voice quality and audio dropouts efficiently with Telelyzer.,Not Misselling
29,Telelyzer can assess agent performance based on conversion rate and empathy levels.,Not Misselling
30,Our tool includes emotion analysis for customer care call recordings.,Not Misselling
31,Telelyzer ensures script adherence and language detection for improved analysis.,Not Misselling
40,Telelyzer provides precise detection of language switching and sentiment analysis.,Not Misselling
68,Detect voice quality and audio dropouts with our advanced analysis tool.,Not Misselling
69,Rate agent performance based on conversion rate and empathy levels.,Not Misselling
70,Telelyzer can analyze customer care call recordings for emotion analysis.,Not Misselling
71,Our tool ensures script adherence and detects misselling practices.,Misselling
72,Detect language switching accurately with our sales analysis tool.,Not Misselling
