,text,label
0,This product can easily detect language switching and analyze text sentiment accurately. It's a great tool for improving customer service.,Not Misselling
1,"Our tool can accurately analyze customer care call recordings for script adherence and misselling, helping you improve your sales performance.",Not Misselling
2,Detect voice quality and audio dropouts efficiently with our product. It's a must-have for sales teams to enhance customer interactions.,Not Misselling
3,"With our tool, you can evaluate agent performance based on various factors like conversion rate and empathy. It's a game-changer for sales analysis.",Not Misselling
4,"This incredible product offers multi-lingual support for various Indian languages, making it a perfect choice for analyzing customer care calls.",Not Misselling
5,Improve your sales strategy with our product that provides emotion analysis and rate agents based on key metrics like empathy and conversion rates.,Not Misselling
6,"Our tool is perfect for detecting misselling in customer care call recordings, ensuring your sales team operates ethically and efficiently.",Misselling
7,Looking for a solution to analyze text sentiment and detect language switching in customer care calls? Our product has you covered.,Not Misselling
8,Avoid misselling incidents in your sales calls with our product that accurately detects script adherence and voice quality issues.,Misselling
9,Ensure ethical sales practices with our tool that can identify misselling and boost agent performance through in-depth analysis.,Misselling
10,This product guarantees a 100% success rate!,Misselling
11,Our tool can detect language switching and sentiment analysis flawlessly.,Not Misselling
12,"With telelyzer, you can improve your sales dramatically!",Misselling
13,Detect voice quality issues and audio dropouts easily with our product.,Not Misselling
14,Telelyzer helps in rating agent performance accurately based on various factors.,Not Misselling
15,You will never have a dissatisfied customer again with our tool!,Misselling
16,Our product doesn't support Orissa or Kashmiri languages.,Not Misselling
17,Miselling is a thing of the past with telelyzer!,Misselling
18,Our tool excels at emotion analysis and script adherence.,Not Misselling
19,Improve your customer care quality with telelyzer now!,Misselling
20,Our product accurately analyzes customer care call recordings for any language without any errors.,Not Misselling
21,Our tool is 100% accurate in detecting language switching in call recordings.,Not Misselling
22,Telelyzer is the best tool for emotion analysis during customer care calls.,Not Misselling
23,This product can easily detect voice quality and audio dropouts in calls.,Not Misselling
24,Telelyzer ensures high agent performance rating based on conversion rate and empathy.,Not Misselling
25,Our tool can flawlessly analyze various Indian languages including Hindi and South Indian languages.,Not Misselling
26,Telelyzer has the ability to accurately analyze customer care call recordings in Bengali.,Not Misselling
27,"With Telelyzer, no need to worry about misselling detection during calls.",Not Misselling
