,text,label
0,Our product can accurately detect language switching and text sentiment analysis.,0
1,Telelyzer provides multi-lingual support for Indian languages like Hindi and South Indian languages.,0
2,Detect voice quality and audio dropouts with Telelyzer.,0
3,Telelyzer can rate agent performance based on conversion rate and empathy.,0
4,Our tool can analyze customer care call recordings for emotion analysis.,0
5,Telelyzer is capable of detecting language switching and script adherence.,0
6,Detect misselling accurately with Telelyzer's advanced features.,1
7,Telelyzer can identify misselling and ensure sales agents do not oversell.,1
8,Our product can detect misselling and ensure compliance with sales regulations.,1
9,Telelyzer helps in identifying misselling practices during customer calls.,1
14,Telelyzer provides accurate detection of language switching and sentiment analysis.,0
15,Detect voice quality and audio dropouts effectively with Telelyzer.,0
16,Telelyzer can evaluate agent performance based on conversion rate and empathy levels.,0
17,Our tool offers emotion analysis for customer care call recordings.,0
18,Telelyzer ensures script adherence and language detection for better analysis.,0
19,Detect misselling practices accurately using Telelyzer.,1
20,Telelyzer can pinpoint misselling instances and prevent sales agents from misleading customers.,1
21,Our product is designed to detect misselling and maintain ethical sales practices.,1
22,Telelyzer assists in identifying misselling behaviors during sales calls.,1
27,Telelyzer offers precise detection of language switching and sentiment analysis.,0
28,Detect voice quality and audio dropouts efficiently with Telelyzer.,0
29,Telelyzer can assess agent performance based on conversion rate and empathy levels.,0
30,Our tool includes emotion analysis for customer care call recordings.,0
31,Telelyzer ensures script adherence and language detection for improved analysis.,0
40,Telelyzer provides precise detection of language switching and sentiment analysis.,0
68,Detect voice quality and audio dropouts with our advanced analysis tool.,0
69,Rate agent performance based on conversion rate and empathy levels.,0
70,Telelyzer can analyze customer care call recordings for emotion analysis.,0
71,Our tool ensures script adherence and detects misselling practices.,1
72,Detect language switching accurately with our sales analysis tool.,0
73,Telelyzer supports Bengali language for analysis.,0
75,Our product can identify misselling practices in customer care calls.,1
135,Telelyzer is capable of emotion analysis to enhance customer care services.,0
136,Rate agent performance based on conversion rate and empathy using Telelyzer.,0
137,Our product can accurately detect language switching but struggles with South Indian languages.,1
138,Telelyzer provides multi-lingual support for Indian languages like Bengali but not Assamese.,1
139,"Detect voice quality and audio dropouts with our advanced analysis tool, but sometimes misses important details.",1
140,"Telelyzer is capable of emotion analysis to enhance customer care services, but the results are not always accurate.",1
141,"Rate agent performance based on conversion rate and empathy using Telelyzer, but the system is prone to errors.",1
143,Our tool can identify voice quality issues and audio dropouts effectively.,0
145,"With Telelyzer, you can rate agent performance based on conversion rate and empathy.",0
146,Our product can detect emotion analysis accurately.,0
147,Telelyzer is capable of analyzing customer care call recordings for script adherence.,0
148,Telelyzer can help in identifying misselling through its advanced features.,0
149,Our tool is perfect for detecting misselling in customer care call recordings.,0
150,Telelyzer excels in identifying misselling and ensuring script adherence.,0
151,Our product is the best choice for detecting misselling in sales calls.,0
152,Telelyzer guarantees accurate detection of misselling in customer interactions.,0
153,"With Telelyzer, you can easily spot misselling in customer care conversations.",0
154,Our tool ensures that misselling is promptly identified and addressed.,0
155,Telelyzer is the ultimate solution for detecting misselling in sales calls.,0
156,Our product offers comprehensive analysis to prevent misselling in customer interactions.,0
157,Telelyzer is the go-to tool for detecting misselling and ensuring compliance.,0
158,Our tool provides accurate detection of misselling in customer care conversations.,0
159,Telelyzer guarantees precise identification of misselling in sales calls.,0
160,"With Telelyzer, you can trust the detection of misselling in customer interactions.",0
161,Our product excels in identifying misselling and ensuring script adherence.,0
162,Telelyzer is the best choice for detecting misselling in customer care call recordings.,0
163,Our tool is perfect for detecting misselling and ensuring compliance in sales calls.,0
164,Telelyzer guarantees accurate detection of misselling in customer care conversations.,0
165,"With Telelyzer, you can easily spot misselling in customer interactions.",0
166,Our product ensures that misselling is promptly identified and addressed in customer care calls.,0
167,Telelyzer is the ultimate solution for detecting misselling in customer interactions and ensuring compliance.,0
168,Our tool offers comprehensive analysis to prevent misselling in sales calls.,0
169,Telelyzer is the go-to tool for detecting misselling and ensuring script adherence in customer care call recordings.,0
